rec_idx,title,company,location,career,education,deadline,link,salary,crawled_at,score
52229002,"국방기술품질원 2025년 2차 정기 채용 [임용후보자(정규직, 무기사업직) 분야]",국방기술품질원,대전전체,신입·경력,고졸↑,~ 11/19(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52229002&location=ts&searchType=search&paid_fl=n&search_uuid=008cb20f-3e92-4905-bfa9-80fbe399b2ff,,2025-11-12 01:05:26,70
51865433,㈜리얼타임테크 SW 개발 신입/경력 채용,(주)리얼타임테크,대전유성구,경력무관,학력무관,~ 11/17(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51865433&location=ts&searchType=search&paid_fl=n&search_uuid=008cb20f-3e92-4905-bfa9-80fbe399b2ff,,2025-11-12 01:05:26,70
51951354,2025년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고,해커스교육그룹,대구전체,신입·경력,학력무관,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51951354&location=ts&searchType=search&paid_fl=n&search_uuid=008cb20f-3e92-4905-bfa9-80fbe399b2ff,,2025-11-12 01:05:26,45
52204243,패션컨설팅 및 온라인플랫폼 개발 및 디자인 기획 모집,(주)유스진코,부산사하구,신입·경력,학력무관,~ 12/31(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52204243&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52199808,기술연구소 연구원 모집(인공지능 영상처리 및 자연어처리),지엔소프트(주),대전유성구,경력무관,대졸↑,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52199808&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52200192,하드웨어 엔지니어 및 수리원 정규직 모집  (대구지사),(주)젤루텍,대구북구,경력무관,고졸↑,~ 11/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52200192&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52213000,[창원]  전산장비 유지보수,올넷피아(주),경남창원시,경력무관,초대졸↑,~ 12/04(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52213000&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
51985894,프로그래머 [ROS/AI/IOT][대전 세종 근무],오아시스스토리(주),대전서구,경력무관,학력무관,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51985894&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52122825,"[코딩, 인공지능] 신입/경력직/파트직",(주)링구아교육,부산동래구,경력무관,학력무관,~ 12/22(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52122825&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52190948,에이펙스아비트라지(주) - 프로그램 자동화 시스템개발구축,에이펙스아비트라지(주),대구수성구,경력무관,초대졸↑,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52190948&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
