rec_idx,title,company,location,career,education,deadline,link,crawled_at
52040994,(주)애니아이티 정보 보안 및 시스템 엔지니어 모집,(주)애니아이티,대구달서구,신입·경력,학력무관,~ 11/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52040994&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52026340,주식회사엠제이솔루션 네트워크 엔지니어 모집,주식회사엠제이솔루션,대전유성구,신입·경력,초대졸↑,~ 11/13(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52026340&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51975420,[신입/경력] 보안관제 · 보안시스템 운영 인재 모집,한국아이티진흥(주),대전유성구,경력무관,초대졸↑,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51975420&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52003213,"네트워크, 정보 보안, 서버 엔지니어 모집",(주) 이노스벤,대구달서구,신입·경력,초대졸↑,~ 11/10(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52003213&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51989870,사이버보안 솔루션 개발자 모집공고(신입/경력),(주)스마트엠투엠,부산해운대구,신입·경력,대졸↑,~ 11/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51989870&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51964767,"네트워크, 서버, 보안(정보통신) 직원 모집",(주)윌네트,경남진주시,경력무관,학력무관,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51964767&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51840844,네트워크 및 보안 엔지니어 정규직 채용(신입&경력),지엘네트웍스,경남창원시,경력무관,초대졸↑,~ 11/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51840844&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51850888,풀스택 서비스 개발 엔지니어 채용,유니버셜마린테크(주),부산남구,경력무관,대졸↑,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51850888&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51828306,(대구)대구지역 공공기관 전산센터-보안관제 모니터링 직원채용,(주)한빛에스아이,대구동구,경력무관,대졸↑,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51828306&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51723220,컴퓨터(서버/네트워크/보안/OA) 엔지니어 (서울/경기/대전/대구),(주)델타시스템,대전유성구,경력무관,초대졸↑,~ 11/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51723220&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51716312,(주)대건소프트 Cyber Security Engineer 채용,(주)대건소프트,대전유성구,경력무관,초대졸↑,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51716312&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51678870,(주)비피에스 - PLC 데이터 인터페이스 및 시스템 개발자 모집,(주)비피에스,경북포항시 남구,경력무관,학력무관,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51678870&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51679574,"강림중공업, 강림인슈 신입/경력 채용",강림중공업(주),부산전체,신입·경력,학력무관,~ 12/31(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51679574&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52127883,[한스바이오메드] 본사/대전연구소 수시채용,한스바이오메드(주),대전전체,신입·경력,고졸↑,~ 12/21(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52127883&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52084971,한국전자기술연구원 2025년 정규직 공개채용 공고,한국전자기술연구원,경기성남시 분당구,신입·경력,대졸↑,~ 11/06(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52084971&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52097225,IT 엔지니어 보안 Chakra 신입 또는 경력 채용,(주)트루인테크놀로지스,대전서구,신입·경력,초대졸↑,~ 11/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52097225&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51682759,(주)원로보틱스 S/W 개발 엔지니어 채용,(주)원로보틱스,경북구미시,경력무관,초대졸↑,~ 10/27(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51682759&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52126650,포인드(주) 인공지능·딥러닝 개발자(신입) 채용,포인드(주),경북구미시,신입,초대졸↑,~ 11/23(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52126650&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52087890,"[대전지점] 시스템 엔지니어(네트워크, 서버, 보안시스템)",(주)이레솔루션,대전유성구,신입,초대졸↑,~ 11/19(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52087890&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51896622,(주)신우씨앤에스 정보통신 기술자 모집,(주)신우씨앤에스,대전동구,신입,고졸↑,~ 11/22(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51896622&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51994270,(부산근무)생성형 AI데이터 사이언티스트,(주)애자일소다,부산전체,신입,대졸↑,~ 11/08(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51994270&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52053416,펜타시스템 39기 신입사원 공개채용,펜타시스템테크놀러지(주),대전전체,신입,대졸↑,~ 11/03(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52053416&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52053437,[대전] 보안 솔루션 방문/원격 기술지원 엔지니어 채용 (신입),(주)지란지교데이터,대전유성구,신입,학력무관,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52053437&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51976981,[채용공고] 정보통신 기술자 (신입) 모집,(주) 에스엠에이시스템,울산남구,신입,대졸↑,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51976981&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51944428,전산 분야 신입 직원 모집  (C# / SQL) - 제조업,한영산업(주),부산전체,신입,초대졸↑,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51944428&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52055152,(경주) 정보통신 초급 기술 유지보수 엔지니어 모집,(주)라임에스엔씨,경북경주시,경력무관,학력무관,~ 11/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52055152&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51842310,(경주) 네트워크설비 유지보수 엔지니어 모집,(주)라임에스엔씨,경북경주시,경력무관,학력무관,~ 11/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51842310&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51992153,각 분야 신입/경력사원 채용공고,(주)스마트비전,대전전체,신입·경력,학력무관,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51992153&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52120416,SI 기술 영업직(경력/신입) 인원 모집,(주)스피어에이엑스,대구수성구,경력무관,초대졸↑,~ 11/22(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52120416&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
